"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26"
"1",0,0.608,0.692,0.447,0.659,0,0,0,0.405,0,0,0.436,0,0,0.472,0,0,0.561,0,0.473,0.472,0.452,0.524,0.575,0.536,0.546
"2",0.608,0,0.453,0.45,0.483,0,0,0,0,0,0,0.382,0,0,0.501,0,0,0.45,0,0.478,0.511,0.419,0.533,0.426,0.397,0.439
"3",0.692,0.453,0,0,0.663,0,0.385,0,0,0,0,0.397,0,0,0.429,0,0,0.626,0,0.456,0.42,0.441,0.484,0.601,0.56,0.578
"4",0.447,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0.659,0.483,0.663,0,0,0,0,0,0,0,0,0.384,0,0,0.402,0,0,0.511,0,0.424,0.409,0.395,0.479,0.518,0.514,0.488
"6",0,0,0,0,0,0,0.503,0.604,0,0,0,0.389,0.385,0,0,0,0,0,0.418,0.544,0.577,0.482,0,0,0,0
"7",0,0,0.385,0,0,0.503,0,0.656,0,0.436,0,0.593,0.512,0,0.421,0,0,0.429,0.418,0.602,0.605,0.63,0.409,0.385,0,0.387
"8",0,0,0,0,0,0.604,0.656,0,0,0.462,0,0.54,0.497,0,0.393,0,0,0.388,0.473,0.613,0.665,0.599,0,0,0,0
"9",0.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.433,0,0,0,0,0
"10",0,0,0,0,0,0,0.436,0.462,0,0,0,0,0,0,0,0,0,0,0,0.421,0.425,0.39,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0.436,0.382,0.397,0,0.384,0.389,0.593,0.54,0,0,0,0,0.539,0,0.406,0,0,0.461,0,0.552,0.572,0.618,0.44,0.408,0,0.416
"13",0,0,0,0,0,0.385,0.512,0.497,0,0,0,0.539,0,0,0.387,0,0,0.433,0,0.482,0.508,0.559,0,0,0,0.413
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383,0,0,0,0,0
"15",0.472,0.501,0.429,0,0.402,0,0.421,0.393,0,0,0,0.406,0.387,0,0,0.392,0,0.501,0,0.477,0.445,0.49,0.505,0.391,0,0.444
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392,0,0,0.452,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0.561,0.45,0.626,0,0.511,0,0.429,0.388,0,0,0,0.461,0.433,0,0.501,0.452,0,0,0,0.475,0.44,0.488,0.533,0.627,0.472,0.606
"19",0,0,0,0,0,0.418,0.418,0.473,0,0,0,0,0,0,0,0,0,0,0,0.426,0.431,0.416,0,0,0,0
"20",0.473,0.478,0.456,0,0.424,0.544,0.602,0.613,0,0.421,0,0.552,0.482,0,0.477,0,0,0.475,0.426,0,0.762,0.708,0.489,0.405,0,0.413
"21",0.472,0.511,0.42,0,0.409,0.577,0.605,0.665,0.433,0.425,0,0.572,0.508,0.383,0.445,0,0,0.44,0.431,0.762,0,0.708,0.451,0,0,0.393
"22",0.452,0.419,0.441,0,0.395,0.482,0.63,0.599,0,0.39,0,0.618,0.559,0,0.49,0,0,0.488,0.416,0.708,0.708,0,0.461,0.404,0.408,0.435
"23",0.524,0.533,0.484,0,0.479,0,0.409,0,0,0,0,0.44,0,0,0.505,0,0,0.533,0,0.489,0.451,0.461,0,0.511,0,0.532
"24",0.575,0.426,0.601,0,0.518,0,0.385,0,0,0,0,0.408,0,0,0.391,0,0,0.627,0,0.405,0,0.404,0.511,0,0.432,0.633
"25",0.536,0.397,0.56,0,0.514,0,0,0,0,0,0,0,0,0,0,0,0,0.472,0,0,0,0.408,0,0.432,0,0.454
"26",0.546,0.439,0.578,0,0.488,0,0.387,0,0,0,0,0.416,0.413,0,0.444,0,0,0.606,0,0.413,0.393,0.435,0.532,0.633,0.454,0
